nlayers,lr,acc
1,0.02420264232946926,0.09999999403953552
1,0.09093574398637702,0.09999999403953552
6,0.06064361398509423,0.4964999854564667
1,0.04201933830845386,0.09999999403953552
4,0.0020670878793441674,0.4652999937534332
3,0.06187179233474477,0.09999999403953552
4,0.4367822836639793,0.09999999403953552
6,0.0007439326502154974,0.3208000063896179
2,0.00041910335828302466,0.4108999967575073
1,0.5177906509637126,0.09999999403953552
3,0.0003318979853833284,0.3953000009059906
3,0.0036784450913792304,0.4659999907016754
3,0.0017602500815308798,0.4607999920845032
2,0.00042316085826618605,0.4089999794960022
5,0.0008440090000364966,0.40039998292922974
4,0.00010141007881257991,0.30230000615119934
3,0.010451938265859072,0.47609999775886536
3,0.13097884020105852,0.09999999403953552
3,0.263496471564607,0.09999999403953552
1,0.03238678660854355,0.09999999403953552
3,0.004013654820478728,0.4722999930381775
4,0.014325088531785435,0.48179998993873596
4,0.0015183041033892156,0.4447000026702881
6,0.015255200606428036,0.48739999532699585
2,0.005754026612835895,0.4407999813556671
4,0.01555419047652632,0.49239999055862427
6,0.0012454755692643822,0.3725999891757965
3,0.18375562466882173,0.09999999403953552
6,0.0005613860819917478,0.3149999976158142
2,0.0007628919654979713,0.44099998474121094
3,0.04616340578455929,0.09999999403953552
6,0.06505769408091219,0.48579999804496765
6,0.026515126782834825,0.49639999866485596
3,0.03538516995685075,0.09999999403953552
6,0.00146021238621788,0.38189998269081116
4,0.00017506176027853656,0.3310000002384186
1,0.003619847578869644,0.09999999403953552
3,0.0005511577545418176,0.41429999470710754
2,0.0005518263529977693,0.4205999970436096
2,0.010522968037636393,0.09999999403953552
1,0.3841375348976444,0.09999999403953552
2,0.05654125478851918,0.09999999403953552
6,8.674842660401369e-05,0.1688999980688095
2,0.0050850231801819685,0.4521999955177307
2,0.02244633586221769,0.09999999403953552
2,0.0002738445875759702,0.38999998569488525
2,0.025642182635725076,0.09999999403953552
3,0.08752450534920028,0.09999999403953552
2,8.948736486360719e-05,0.33820000290870667
2,9.969950604451002e-05,0.34849998354911804
