nlayers,lr,acc
4,0.0001024271087493597,0.3084999918937683
5,0.00036530365828995253,0.33409997820854187
6,0.00817354445634345,0.4583999812602997
6,0.0011937821622643918,0.36789998412132263
1,0.028764289108170034,0.09999999403953552
5,0.0005625368774090643,0.3653999865055084
3,0.3368695570154246,0.09999999403953552
4,0.0004635070126075695,0.40379998087882996
3,6.972123452544672e-05,0.31929999589920044
3,5.361570271503086e-05,0.3118000030517578
1,0.02535930860388839,0.09999999403953552
6,0.0009789735254404238,0.35989999771118164
5,0.00020456528937093968,0.28039997816085815
5,0.002328340734941819,0.45179998874664307
5,0.015678971715758685,0.5016999840736389
3,0.07202076795775952,0.09999999403953552
3,0.020778502367761364,0.09999999403953552
2,0.49150184348698783,0.09999999403953552
